"G1C10","What is the maximum symbol rate permitted for RTTY or data emission transmissions on the 10-meter band?","","1200 baud","56 kilobaud","19.6 kilobaud","300 baud"
"G1C11","What is the maximum symbol rate permitted for RTTY or data emission transmissions on the 2-meter band?","","19.6 kilobaud","56 kilobaud","1200 baud","300 baud"
"G1D01","Who may receive credit for the elements represented by an expired amateur radio license?","","Any person who can demonstrate that they once held an FCC issued General, Advanced, or Amateur Extra class license that was not revoked by the FCC ","Anyone who held an FCC issued amateur radio license that has been expired for not less than 5 years and not more than 15 years","Any person who previously held an amateur license issued by another country, but only if that country has a current reciprocal licensing agreement with the FCC","Only persons who once held an FCC issued Novice, Technician, or Technician Plus license"
"G1D02","What license examinations may you administer when you are an accredited VE holding a General Class operator license?","","Technician only","General and Technician","General only","Extra, General and Technician"
"G1D03","On which of the following band segments may you operate if you are a Technician Class operator and have a CSCE for General Class privileges?","","On any General or Technician Class band segment","Only the Technician band segments until your upgrade is posted in the FCC database","Only on the Technician band segments until your license arrives in the mail","On any General or Technician Class band segment except 30-meters and 60-meters"
"G1D04","Which of the following is a requirement for administering a Technician Class license examination?","","At least three General Class or higher VEs must observe the examination  ","At least two General Class or higher VEs must be present ","At least two General Class or higher VEs must be present, but only one need be Extra Class ","At least three VEs of Technician Class or higher must observe the examination  "
"G1D05","Which of the following must a person have before they can be an administering VE for a Technician Class license examination?","","An FCC General Class or higher license and VEC accreditation","Notification to the FCC that you want to give an examination","Receipt of a CSCE for General Class","Possession of a properly obtained telegraphy license"
"G1D06","When must you add the special identifier "AG" after your call sign if you are a Technician Class licensee and have a CSCE for General Class operator privileges, but the FCC has not yet posted your upgrade on its website ?","","Whenever you operate using General Class frequency privileges ","Whenever you operate on any amateur frequency","Whenever you operate using Technician frequency privileges ","A special identifier is not required as long as your General Class license application has been filed with the FCC"
"G1D07","Volunteer Examiners are accredited by what organization?","","A Volunteer Examiner Coordinator","The Federal Communications Commission","The Universal Licensing System","The Wireless Telecommunications Bureau"
"G1D08","Which of the following criteria must be met for a non-U.S. citizen to be an accredited Volunteer Examiner?","","The person must hold an FCC granted Amateur Radio license of General Class or above","The person must be a resident of the U.S. for a minimum of 5 years","The person’s home citizenship must be in ITU region 2","None of these choices is correct; a non-U.S. citizen cannot be a Volunteer Examiner"
"G1D09","How long is a Certificate of Successful Completion of Examination (CSCE) valid for exam element credit?","","365 days","30 days","180 days","For as long as your current license is valid "
"G1D10","What is the minimum age that one must be to qualify as an accredited Volunteer Examiner?","","18 years","12 years","21 years ","There is no age limit"
"G1D11","If a person has an expired FCC issued amateur radio license of General Class or higher, what is required before they can receive a new license? ","","The applicant must pass the current element 2 exam ","They must have a letter from the FCC showing they once held an amateur or commercial license","There are no requirements other than being able to show a copy of the expired license","The applicant must be able to produce a copy of a page from a call book published in the USA showing his or her name and address"
"G1E01","Which of the following would disqualify a third party from participating in stating a message over an amateur station?","","The third party’s amateur license has been revoked and not reinstated ","The third party is not a U.S. citizen","The third party is a licensed amateur","The third party is speaking in a language other than English"
"G1E02","When may a 10-meter repeater retransmit the 2-meter signal from a station having a Technician Class control operator?","","Only if the 10-meter repeater control operator holds at least a General Class license","Under no circumstances","Only if the station on 10-meters is operating under a Special Temporary Authorization allowing such retransmission","Only during an FCC declared general state of communications emergency"
"G1E03","What is required to conduct communications with a digital station operating under automatic control outside the automatic control band segments?","","The station initiating the contact must be under local or remote control","The interrogating transmission must be made by another automatically controlled station","No third party traffic maybe be transmitted ","The control operator of the interrogating station must hold an Extra ","ss license  "
"G1E04","Which of the following conditions require a licensed Amateur Radio operator to take specific steps to avoid harmful interference to other users or facilities?","","All of these choices are correct","When operating within one mile of an FCC Monitoring Station","When using a band where the Amateur Service is secondary","When a station is transmitting spread spectrum emissions"
"G1E05","What types of messages for a third party in another country may be transmitted by an amateur station?","","Only messages relating to Amateur Radio or remarks of a personal character, or messages relating to emergencies or disaster relief","Any message, as long as the amateur operator is not paid","Only messages for other licensed amateurs","Any messages, as long as the text of the message is recorded in the station log"
"G1E06","Which of the following applies in the event of interference between a coordinated repeater and an uncoordinated repeater?","","The licensee of the uncoordinated repeater has primary responsibility to resolve the interference","The licensee of the coordinated repeater has primary responsibility to resolve the interference","Both repeater licensees share equal responsibility to resolve the interference","The frequency coordinator bears primary responsibility to resolve the interference"
"G1E07","With which foreign countries is third party traffic prohibited, except for messages directly involving emergencies or disaster relief communications?","","Every foreign country, unless there is a third party agreement in effect with that country","Countries in ITU Region 2","Countries in ITU Region 1","Any country which is not a member of the International Amateur Radio Union (IARU)"
"G1E08","Which of the following is a requirement for a non-licensed person to communicate with a foreign Amateur Radio station from a station with an FCC-granted license at which an FCC licensed control operator is present?","","The foreign amateur station must be in a country with which the United States has a third party agreement","Information must be exchanged in English","The control operator must have at least a General Class license","All of these choices are correct"
"G1E09","What language must be used when identifying your station if you are using a language other than English in making a contact using phone emission?","","English only","The language being used for the contact","Any language recognized by the United Nations","English, Spanish, French, or German"
"G1E09","What language must be used when identifying your station if you are using a language other than English in making a contact using phone emission?","","English only","The language being used for the contact","Any language recognized by the United Nations","English, Spanish, French, or German","The entire band","The portion between 28.1 MHz and 28.2 MHz","The portion between 28.3 MHz and 28.5 MHz","The portion above 29.6 MHz"
"G1E11","Which of the following is the FCC term for an unattended digital station that transfers messages to and from the Internet?","","Automatically controlled digital station","Locally controlled station","Robotically controlled station","Fail-safe digital station"
"G1E12","Under what circumstances are messages that are sent via digital modes exempt from Part 97 third party rules that apply to other modes of communication?","","Under no circumstances","When messages are encrypted","When messages are not encrypted","When under automatic control"
"G1E13","On what bands may automatically controlled stations transmitting RTTY or data emissions communicate with other automatically controlled digital stations?","","Anywhere in the 1.25-meter or shorter wavelength bands, and in specified segments of the 80-meter through 2-meter bands ","On any band segment where digital operation is permitted","Anywhere in the non-phone segments of the 10-meter or shorter wavelength bands","Only in the non-phone Extra Class segments of the bands"
"G2A01","Which sideband is most commonly used for voice communications on frequencies of 14 MHz or higher?","","Upper sideband","Lower sideband","Vestigial sideband","Double sideband"
"G2A02","Which of the following modes is most commonly used for voice communications on the 160-meter, 75-meter, and 40-meter bands?","","Lower sideband","Upper sideband","Vestigial sideband","Double sideband"
"G2A03","Which of the following is most commonly used for SSB voice communications in the VHF and UHF bands?","","Upper sideband","Lower sideband","Vestigial sideband","Double sideband"
"G2A04","Which mode is most commonly used for voice communications on the 17-meter and 12-meter bands?","","Upper sideband ","Lower sideband","Vestigial sideband","Double sideband"
"G2A05","Which mode of voice communication is most commonly used on the HF amateur bands? ","","Single sideband ","Frequency modulation ","Double sideband ","Phase modulation "
"G2A06","Which of the following is an advantage when using single sideband as compared to other analog voice modes on the HF amateur bands?","","Less bandwidth used and greater power efficiency ","Very high fidelity voice modulation ","Ease of tuning on receive and immunity to impulse noise","Less subject to interference from atmospheric static crashes "
"G2A07","Which of the following statements is true of the single sideband voice mode? ","","Only one sideband is transmitted; the other sideband and carrier are suppressed ","Only one sideband and the carrier are transmitted; the other sideband is suppressed","SSB is the only voice mode that is authorized on the 20-meter, 15-meter, and 10-meter amateur bands","SSB is the only voice mode that is authorized on the 160-meter, 75-meter and 40-meter amateur bands "
"G2A08","Which of the following is a recommended way to break into a contact when using phone?","","Say your call sign during a break between transmissions by the other stations","Say "QRZ" several times followed by your call sign","Say "Break Break Break" and wait for a response ","Say "CQ" followed by the call sign of either station"
"G2A09","Why do most amateur stations use lower sideband on the 160-meter, 75-meter and 40-meter bands?","","Current amateur practice is to use lower sideband on these frequency bands","Lower sideband is more efficient than upper sideband at these frequencies","Lower sideband is the only sideband legal on these frequency bands","Because it is fully compatible with an AM detector"
"G2A10","Which of the following statements is true of voice VOX operation versus PTT operation?","","It allows "hands free" operation","The received signal is more natural sounding","It occupies less bandwidth","It provides more power output"
"G2A11","What does the expression "CQ DX" usually indicate?","","The caller is looking for any station outside their own country","A general call for any station","The caller is listening for a station in Germany ","A distress call"
"G2B01","Which of the following is true concerning access to frequencies in non-emergency situations?","","Except during FCC declared emergencies, no one has priority access to frequencies ","Nets always have priority","QSOs in progress always have priority","Contest operations must always yield to non-contest use of frequencies"
"G2B02","What is the first thing you should do if you are communicating with another amateur station and hear a station in distress break in?","","Acknowledge the station in distress and determine what assistance may be needed","Continue your communication because you were on the frequency first","Change to a different frequency","Immediately cease all transmissions"
"G2B03","If propagation changes during your contact and you notice increasing interference from other activity on the same frequency, what should you do?","","As a common courtesy, move your contact to another frequency ","Tell the interfering stations to change frequency ","Report the interference to your local Amateur Auxiliary Coordinator ","Increase power to overcome interference"
"G2B04","When selecting a CW transmitting frequency, what minimum separation should be used to minimize interference to stations on adjacent frequencies?","","150 to 500 Hz ","5 to 50 Hz ","1 to 3 kHz ","3 to 6 kHz "
"G2B05","What is the customary minimum frequency separation between SSB signals under normal conditions?","","Approximately 3 kHz ","Between 150 and 500 Hz ","Approximately 6 kHz ","Approximately 10 kHz "
"G2B06","What is a practical way to avoid harmful interference on an apparently clear frequency before calling CQ on CW or phone?","","Send "QRL?" on CW, followed by your call sign; or, if using phone, ask if the frequency is in use, followed by your call sign","Listen for 2 minutes before calling CQ ","Send the letter "V" in Morse code several times and listen for a response or say "test" several times and listen for a response","Send "QSY" on CW or if using phone, announce "the frequency is in use", then give your call and listen for a response"
"G2B07","Which of the following complies with good amateur practice when choosing a frequency on which to initiate a call?","","Follow the voluntary band plan for the operating mode you intend to use","Check to see if the channel is assigned to another station","Identify your station by transmitting your call sign at least 3 times","All of these choices are correct"
"G2B08","What is the "DX window" in a voluntary band plan?","","A portion of the band that should not be used for contacts between stations within the 48 contiguous United States ","An FCC rule that prohibits contacts between stations within the United States and possessions in that portion of the band ","An FCC rule that allows only digital contacts in that portion of the band ","A portion of the band that has been voluntarily set aside for digital contacts only "
"G2B09","Who may be the control operator of an amateur station transmitting in RACES to assist relief operations during a disaster?","","Only a person holding an FCC issued amateur operator license","Only a RACES net control operator","A person holding an FCC issued amateur operator license or an appropriate government official","Any control operator when normal communication systems are operational"
"G2B10","When may the FCC restrict normal frequency operations of amateur stations participating in RACES?","","When the President’s War Emergency Powers have been invoked","When they declare a temporary state of communication emergency","When they seize your equipment for use in disaster communications","Only when all amateur stations are instructed to stop transmitting"
"G2B11","What frequency should be used to send a distress call?","","Whichever frequency has the best chance of communicating the distress message","Only frequencies authorized for RACES or ARES stations","Only frequencies that are within your operating privileges","Only frequencies used by police, fire or emergency medical services"
"G2B12","When is an amateur station allowed to use any means at its disposal to assist another station in distress?","","At any time during an actual emergency","Only when transmitting in RACES ","At any time when transmitting in an organized net","Only on authorized HF frequencies"
"G2C01","Which of the following describes full break-in telegraphy (QSK)?","","Transmitting stations can receive between code characters and elements","Breaking stations send the Morse code prosign BK","Automatic keyers are used to send Morse code instead of hand keys","An operator must activate a manual send/receive switch before and after every transmission"
"G2C02","What should you do if a CW station sends "QRS"?","","Send slower","Change frequency","Increase your power","Repeat everything twice"
"G2C03","What does it mean when a CW operator sends "KN" at the end of a transmission?","","Listening only for a specific station or stations","Listening for novice stations","Operating full break-in","Closing station now"
"G2C04","What does the Q signal "QRL?" mean?","",""Are you busy?", or "Is this frequency in use?"",""Will you keep the frequency clear?" ",""Are you operating full break-in" or "Can you operate full break-in?"",""Are you listening only for a specific station?" "
"G2C05","What is the best speed to use when answering a CQ in Morse code?","","The speed at which the CQ was sent","The fastest speed at which you are comfortable copying","A slow speed until contact is established","At the standard calling speed of 5 wpm"
"G2C06","What does the term "zero beat" mean in CW operation?","","Matching your transmit frequency to the frequency of a received signal","Matching the speed of the transmitting station","Operating split to avoid interference on frequency","Sending without error"
"G2C07","When sending CW, what does a "C" mean when added to the RST report?","","Chirpy or unstable signal","Report was read from an S meter rather than estimated","100 percent copy","Key clicks"
"G2C08","What prosign is sent to indicate the end of a formal message when using CW? ","","AR","SK ","BK ","KN"
"G2C09","What does the Q signal "QSL" mean?","","I acknowledge receipt","Send slower","We have already confirmed by card","We have worked before"
"G2C10","What does the Q signal "QRN" mean?","","I am troubled by static","Send more slowly","Zero beat my signal","Stop sending"
"G2C11","What does the Q signal "QRV" mean?","","I am ready to receive messages","You are sending too fast","There is interference on the frequency","I am quitting for the day"
"G2D01","What is the Amateur Auxiliary to the FCC?","","Amateur volunteers who are formally enlisted to monitor the airwaves for rules violations ","Amateur volunteers who conduct amateur licensing examinations ","Amateur volunteers who conduct frequency coordination for amateur VHF repeaters ","Amateur volunteers who use their station equipment to help civil defense organizations in times of emergency "
"G2D02","Which of the following are objectives of the Amateur Auxiliary?","","To encourage self-regulation and compliance with the rules by radio amateur operators ","To conduct efficient and orderly amateur licensing examinations ","To coordinate repeaters for efficient and orderly spectrum usage ","To provide emergency and public safety communications "
"G2D03","What skills learned during hidden transmitter hunts are of help to the Amateur Auxiliary? ","","Direction finding used to locate stations violating FCC Rules","Identification of out of band operation ","Identification of different call signs ","Hunters have an opportunity to transmit on non-amateur frequencies "
"G2D04","Which of the following describes an azimuthal projection map?","","A map that shows true bearings and distances from a particular location ","A map that shows accurate land masses","A map that shows the angle at which an amateur satellite crosses the equator ","A map that shows the number of degrees longitude that an amateur satellite appears to move westward at the equator with each orbit "
"G2D05","When is it permissible to communicate with amateur stations in countries outside the areas administered by the Federal Communications Commission?","","When the contact is with amateurs in any country except those whose administrations have notified the ITU that they object to such communications","Only when the foreign country has a formal third party agreement filed with the FCC","When the contact is with amateurs in any country as long as the communication is conducted in English","Only when the foreign country is a member of the International Amateur Radio Union"
"G2D06","How is a directional antenna pointed when making a "long-path" contact with another station?","","180 degrees from its short-path heading","Toward the rising Sun ","Along the gray line ","Toward the north"
"G2D07","Which of the following is required by the FCC rules when operating in the 60-meter band?","","If you are using other than a dipole antenna, you must keep a record of the gain of your antenna","You must keep a record of the date, time, frequency, power level and stations worked ","You must keep a record of all third party traffic","You must keep a record of the manufacturer of your equipment and the antenna used"
"G2D08","What is a reason why many amateurs keep a station log?","","To help with a reply if the FCC requests information","The ITU requires a log of all international contacts","The ITU requires a log of all international third party traffic","The log provides evidence of operation needed to renew a license without retest "
"G2D09","What information is traditionally contained in a station log?","","All of these choices are correct","Date and time of contact","Band and/or frequency of the contact ","Call sign of station contacted and the signal report given "
"G2D10","What is QRP operation?","","Low power transmit operation","Remote piloted model control","Transmission using Quick Response Protocol","Traffic relay procedure net operation"
"G2D11","Which HF antenna would be the best to use for minimizing interference?","","A directional antenna","A quarter-wave vertical antenna","An isotropic antenna ","An omnidirectional antenna"
"G2E01","Which mode is normally used when sending an RTTY signal via AFSK with an SSB transmitter?","","LSB","USB","DSB","CW"
"G2E02","How can a PACTOR modem or controller be used to determine if the channel is in use by other PACTOR stations? ","","Put the modem or controller in a mode which allows monitoring communications without a connection ","Unplug the data connector temporarily and see if the channel-busy indication is turned off ","Transmit UI packets several times and wait to see if there is a response from another PACTOR station ","Send the message: "Is this frequency in use?" "
"G2E03","What symptoms may result from other signals interfering with a PACTOR or WINMOR transmission?","","All of these choices are correct ","Frequent retries or timeouts","Long pauses in message transmission","Failure to establish a connection between stations"
"G2E04","What segment of the 20-meter band is most often used for digital transmissions?","","14.070 - 14.100 MHz","14.000 - 14.050 MHz","14.150 - 14.225 MHz","14.275 - 14.350 MHz"
"G2E05","What is the standard sideband used to generate a JT65 or JT9 digital signal when using AFSK in any amateur band?","","USB","LSB","DSB","SSB"
"G2E06","What is the most common frequency shift for RTTY emissions in the amateur HF bands?","","170 Hz","85 Hz","425 Hz","850 Hz"
"G2E07","What segment of the 80-meter band is most commonly used for digital transmissions?","","3570 – 3600 kHz","3500 – 3525 kHz","3700 – 3750 kHz","3775 – 3825 kHz"
"G2E08","In what segment of the 20-meter band are most PSK31 operations commonly found?","","Below the RTTY segment, near 14.070 MHz","At the bottom of the slow-scan TV segment, near 14.230 MHz","At the top of the SSB phone segment, near 14.325 MHz","In the middle of the CW segment, near 14.100 MHz"
"G2E09","How do you join a contact between two stations using the PACTOR protocol? ","","Joining an existing contact is not possible, PACTOR connections are limited to two stations ","Send broadcast packets containing your call sign while in MONITOR mode ","Transmit a steady carrier until the PACTOR protocol times out and disconnects ","Send a NAK response continuously so that the sending station has to pause"
"G2E10","Which of the following is a way to establish contact with a digital messaging system gateway station?","","Transmit a connect message on the station’s published frequency ","Send an email to the system control operator ","Send QRL in Morse code ","Respond when the station broadcasts its SSID "
"G2E11","What is indicated on a waterfall display by one or more vertical lines adjacent to a PSK31 signal?","","Overmodulation","Long Path propagation","Backscatter propagation","Insufficient modulation"
"G2E12","Which of the following describes a waterfall display?","","Frequency is horizontal, signal strength is intensity, time is vertical","Frequency is horizontal, signal strength is vertical, time is intensity","Frequency is vertical, signal strength is intensity, time is horizontal","Frequency is vertical, signal strength is horizontal, time is intensity"
"G2E13","Which communication system sometimes uses the Internet to transfer messages?","","Winlink","RTTY","ARES","Skywarn"
"G2E14","What could be wrong if you cannot decode an RTTY or other FSK signal even ","","All of these choices are correct ","The mark and space frequencies may be reversed ","You may have selected the wrong baud rate ","You may be listening on the wrong sideband "
"G3A01","What is the significance of the sunspot number with regard to HF propagation?",""," Higher sunspot numbers generally indicate a greater probability of good propagation at higher frequencies"," Lower sunspot numbers generally indicate greater probability of sporadic E propagation"," A zero sunspot number indicate radio propagation is not possible on any band"," All of these choices are correct."
"G3A02","What effect does a Sudden Ionospheric Disturbance have on the daytime ionospheric propagation of HF radio waves?","","It disrupts signals on lower frequencies more than those on higher frequencies ","It enhances propagation on all HF frequencies","It disrupts communications via satellite more than direct communications","None, because only areas on the night side of the Earth are affected"
"G3A03","Approximately how long does it take the increased ultraviolet and X-ray radiation from solar flares to affect radio propagation on the Earth?","","8 minutes","roximately how long does it take the increased ultraviolet and X-ray radiation from solar flares to affect radio propagation on the Earth?","28 days ","1 to 2 hours","20 to 40 hours "
"G3A04","Which of the following are least reliable for long distance communications during periods of low solar activity?","","15 meters, 12 meters and 10 meters","80 meters and 160 meters","60 meters and 40 meters","30 meters and 20 meters"
"G3A05","What is the solar flux index?","","A measure of solar radiation at 10.7 centimeters wavelength","A measure of the highest frequency that is useful for ionospheric propagation between two points on the Earth ","A count of sunspots which is adjusted for solar emissions","Another name for the American sunspot number "
"G3A06","What is a geomagnetic storm?","","A temporary disturbance in the Earth's magnetosphere","A sudden drop in the solar flux index","A thunderstorm which affects radio propagation","Ripples in the ionosphere"
"G3A07","At what point in the solar cycle does the 20-meter band usually support worldwide propagation during daylight hours?","","At any point in the solar cycle","what point in the solar cycle does the 20-meter band usually support worldwide propagation during daylight hours?","At the summer solstice","Only at the maximum point of the solar cycle","Only at the minimum point of the solar cycle"
"G3A08","Which of the following effects can a geomagnetic storm have on radio propagation?","","Degraded high-latitude HF propagation","Improved high-latitude HF propagation","Improved ground-wave propagation","Improved chances of UHF ducting"
"G3A09","What effect does a high sunspot number have on radio communications?","","Long-distance communication in the upper HF and lower VHF range is enhanced","High-frequency radio signals become weak and distorted","Frequencies above 300 MHz become usable for long-distance communication","Microwave communications become unstable"
"G3A10","What causes HF propagation conditions to vary periodically in a 28 day cycle?","","The Sun’s rotation on its axis","Long term oscillations in the upper atmosphere","Cyclic variation in the Earth’s radiation belts","The position of the Moon in its orbit"
"G3A11","Approximately how long is the typical sunspot cycle?","","11 years","roximately how long is the typical sunspot cycle?","8 minutes","40 hours","28 days"
"G3A12","What does the K-index indicate?","","The short term stability of the Earth’s magnetic field","The relative position of sunspots on the surface of the Sun","The stability of the Sun's magnetic field","The solar radio flux at Boulder, Colorado"
"G3A13","What does the A-index indicate? ","","The long term stability of the Earth’s geomagnetic field","The relative position of sunspots on the surface of the Sun ","The amount of polarization of the Sun's electric field","The solar radio flux at Boulder, Colorado"
"G3A14","How are radio communications usually affected by the charged particles that reach the Earth from solar coronal holes?","","HF communications are disturbed","HF communications are improved","VHF/UHF ducting is improved","VHF/UHF ducting is disturbed"
"G3A15","How long does it take charged particles from coronal mass ejections to affect radio propagation on the Earth?","","20 to 40 hours","28 days","14 days","4 to 8 minutes"
"G3A16","What is a possible benefit to radio communications resulting from periods of high geomagnetic activity?","","Auroras that can reflect VHF signals","Higher signal strength for HF signals passing through the polar regions","Improved HF long path propagation","Reduced long delayed echoes "
"G3B01","How might a sky-wave signal sound if it arrives at your receiver by both short path and long path propagation?","","A well-defined echo might be heard","Periodic fading approximately every 10 seconds","Signal strength increased by 3 dB ","The signal might be cancelled causing severe attenuation"
"G3B02","Which of the following is a good indicator of the possibility of sky-wave propagation on the 6-meter band?","","Short skip sky-wave propagation on the 10-meter band","Long skip sky-wave propagation on the 10-meter band","Severe attenuation of signals on the 10-meter band","Long delayed echoes on the 10-meter band"
"G3B03","Which of the following applies when selecting a frequency for lowest attenuation when transmitting on HF?","","Select a frequency just below the MUF","Select a frequency just above the LUF","Select a frequency just below the critical frequency","Select a frequency just above the critical frequency"
"G3B04","What is a reliable way to determine if the MUF is high enough to support skip propagation between your station and a distant location on frequencies between 14 and 30 MHz?","","Listen for signals from an international beacon in the frequency range you plan to use","Send a series of dots on the band and listen for echoes from your signal","Check the strength of TV signals from Western Europe","Check the strength of signals in the MF AM broadcast band"
"G3B05","What usually happens to radio waves with frequencies below the MUF and above the LUF when they are sent into the ionosphere?","","They are bent back to the Earth","They pass through the ionosphere","They are amplified by interaction with the ionosphere","They are bent and trapped in the ionosphere to circle the Earth"
"G3B06","What usually happens to radio waves with frequencies below the LUF?","","They are completely absorbed by the ionosphere","They are bent back to the Earth","They pass through the ionosphere","They are bent and trapped in the ionosphere to circle the Earth"
